SpeedLimit,Over_pct,O5mph_pct,Speed_avg,SpeedO_avg,Spd5O_avg
30,40,11,28,34,38
30,40,11,28,34,38
30,48,15,30,34,38
30,59,26,31,35,39
30,59,26,31,35,39
30,59,26,31,35,39
30,59,26,31,35,39
0,55,16,24,29,33
35,63,18,31,34,39
35,63,18,31,34,39
35,63,18,31,34,39
35,63,18,31,34,39
35,63,18,31,34,39
35,63,18,31,34,39
35,63,18,31,34,39
30,51,14,30,34,39
30,51,14,30,34,39
30,15,5,25,34,37
30,15,5,25,34,37
30,20,4,26,33,38
30,20,4,26,33,38
30,41,9,28,33,38
30,41,9,28,33,38
25,68,24,27,29,33
25,68,24,27,29,33
25,68,24,27,29,33
0,57,9,25,28,32
0,57,9,25,28,32
0,69,32,27,30,34
0,69,32,27,30,34
0,42,16,29,34,38
0,42,16,29,34,38
0,74,35,28,30,33
0,74,35,28,30,33
35,72,40,38,41,44
35,24,5,31,38,44
0,14,2,20,28,33
0,22,5,20,28,34
0,22,5,20,28,34
35,29,7,33,38,42
35,29,7,33,38,42
0,30,8,21,29,33
0,58,25,25,30,33
0,28,4,21,28,34
0,11,1,19,27,32
25,34,7,22,28,33
25,13,0,21,27,34
0,10,1,18,28,33
0,31,4,22,28,33
0,100,100,41,41,41
0,100,100,41,41,41
0,100,100,41,41,41
0,100,100,41,41,41
0,54,14,25,28,32
25,34,7,23,28,33
30,39,13,29,34,38
30,55,14,30,34,38
30,72,29,32,35,39
30,28,8,28,34,38
0,0,0,13,0,0
0,11,1,18,27,32
30,46,15,30,34,38
30,46,15,30,34,38
35,21,6,31,39,44
35,21,6,31,39,44
0,26,5,21,28,33
30,63,19,31,34,39
30,63,19,31,34,39
30,58,19,31,34,38
30,58,19,31,34,38
0,23,6,19,29,34
25,54,8,25,28,32
25,54,8,25,28,32
25,54,8,25,28,32
25,54,8,25,28,32
25,54,8,25,28,32
25,54,8,25,28,32
25,54,8,25,28,32
25,54,8,25,28,32
25,54,8,25,28,32
25,40,6,34,38,42
25,40,6,34,38,42
25,40,6,34,38,42
25,40,6,34,38,42
25,54,8,25,28,32
25,54,8,25,28,32
25,54,8,25,28,32
25,45,19,23,30,33
25,45,19,23,30,33
25,13,3,19,28,33
25,45,19,23,30,33
25,45,19,23,30,33
25,54,8,25,28,32
25,54,8,25,28,32
25,94,56,30,31,34
25,65,21,26,29,33
35,26,7,32,39,43
35,26,7,32,39,43
35,26,7,32,39,43
35,26,7,32,39,43
35,35,9,34,38,43
35,35,9,34,38,43
35,35,9,34,38,43
35,35,9,34,38,43
35,35,9,34,38,43
35,35,9,34,38,43
25,16,3,19,29,36
0,98,88,36,36,37
0,98,88,36,36,37
0,98,88,36,36,37
0,98,88,36,36,37
0,98,88,36,36,37
0,98,88,36,36,37
0,19,3,19,28,33
0,64,25,26,29,33
0,64,25,26,29,33
0,85,45,29,30,33
0,85,45,29,30,33
25,49,10,24,28,32
25,67,20,26,29,32
